"Reset password","Reset password"
"or","or"
"return to log in","return to log in"
"Back to login","Back to login"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","We've sent password reset instructions to your email. Check your inbox and follow the link."
"Log in","Log in"
"Remember me","Remember me"
"Forgot the password?","Forgot the password?"
"Log in to your account","Log in to your account"
"You must accept the terms and conditions.","You must accept the terms and conditions."
"Register","Register"
"register an account","register an account"
"Register an account","Register an account"
"login to your account","login to your account"
"Filter","Filter"
"Color","Color"
"Size","Size"
"Price","Price"
"Order Summary","Order Summary"
"Safety","Safety"
"Shipping","Shipping"
"Payment","Payment"
"Returns","Returns"
"Review order","Review order"
"Please check if all data are correct","Please check if all data are correct"
"I agree to","I agree to"
"Terms and conditions","Terms and conditions"
"Place the order","Place the order"
"Edit payment","Edit payment"
"We will send you the invoice to given e-mail address","We will send you the invoice to given e-mail address"
"Payment method","Payment method"
"Go review the order","Go review the order"
"Phone number may be needed by carrier","Phone number may be needed by carrier"
"Personal Details","Personal Details"
"Edit personal details","Edit personal details"
"Continue to shipping","Continue to shipping"
"We will send you details regarding the order","We will send you details regarding the order"
"The new account will be created with the purchase. You will receive details on e-mail.","The new account will be created with the purchase. You will receive details on e-mail."
"Qty","Qty"
"Edit shipping","Edit shipping"
"Ship to my default address","Ship to my default address"
"Shipping method","Shipping method"
"Continue to payment","Continue to payment"
"Departments","Departments"
"Women fashion","Women fashion"
"Men's fashion","Men's fashion"
"Kidswear","Kidswear"
"Home","Home"
"Orders","Orders"
"Track my order","Track my order"
"Delivery","Delivery"
"Return policy","Return policy"
"Customer service","Customer service"
"Contact us","Contact us"
"About us","About us"
"Store locator","Store locator"
"United States (US)","United States (US)"
"Legal notice","Legal notice"
"Privacy policy","Privacy policy"
"Subscribe to the newsletter and receive a coupon for 10% off","Subscribe to the newsletter and receive a coupon for 10% off"
"Subscribe","Subscribe"
"Return to shopping","Return to shopping"
"Login to your account","Login to your account"
"You are logged in as","You are logged in as"
"Edit","Edit"
"Shopping cart","Shopping cart"
"Your shopping cart is empty.","Your shopping cart is empty."
"Don't hesitate and","Don't hesitate and"
"browse our catalog","browse our catalog"
"to find something beautiful for You!","to find something beautiful for You!"
"Shopping summary","Shopping summary"
"Subtotal inc. tax","Subtotal inc. tax"
"Total inc. tax","Total inc. tax"
"Go to checkout","Go to checkout"
"Remove","Remove"
"My newsletter","My newsletter"
"Edit newsletter preferences","Edit newsletter preferences"
"General agreement","General agreement"
"Preferences","Preferences"
"Cancel","Cancel"
"Update my preferences","Update my preferences"
"My profile","My profile"
"Edit your profile","Edit your profile"
"Update my profile","Update my profile"
"My shipping details","My shipping details"
"Edit your shipping details","Edit your shipping details"
"Update my shipping details","Update my shipping details"
"Country","Country"
"Erin Recommends","Erin Recommends"
"Similar products","Similar products"
"No results were found.","No results were found."
"Type what you are looking for...","Type what you are looking for..."
"Magazine","Magazine"
"Sale","Sale"
"My orders","My orders"
"My loyalty card","My loyalty card"
"My product reviews","My product reviews"
"Wishlist","Wishlist"
"Your wishlist is empty.","Your wishlist is empty."
"Add to cart","Add to cart"
"Select color ","Select color "
"See details","See details"
"We use cookies to give you the best shopping experience.","We use cookies to give you the best shopping experience."
"Home Page","Home Page"
"Newsletter","Newsletter"
"Sign up to our newsletter and receive a coupon for 10% off!","Sign up to our newsletter and receive a coupon for 10% off!"
"Quantity","Quantity"
"Price ","Price "
"Select size ","Select size "
"Checkout","Checkout"
"Print This Page","Print This Page"
"You have no items to compare.","You have no items to compare."
"New Luma Yoga Collection","New Luma Yoga Collection"
"We can't find the page","We can't find the page"
"Unfortunately we can't find the page you are looking for.","Unfortunately we can't find the page you are looking for."
"If you need an assistance you can drop us a line on","If you need an assistance you can drop us a line on"
"a chat","a chat"
"or write to us through","or write to us through"
"a contact page","a contact page"
"You can also use","You can also use"
"search","search"
"to find product you were looking for.","to find product you were looking for."
"See our bestsellers","See our bestsellers"
"Thank you!","Thank you!"
"Thank you for placing an order.","Thank you for placing an order."
"Your order has been sent to the server and will be immediately processed","Your order has been sent to the server and will be immediately processed"
"Your order will be sent to the server as soon as you connect to the Internet and then confirmed regarding the stock quantities of selected items","Your order will be sent to the server as soon as you connect to the Internet and then confirmed regarding the stock quantities of selected items"
"You are offline, some of the functionalities are limited","You are offline, some of the functionalities are limited"
"Search","Search"
"Help","Help"
"Go to Facebook","Go to Facebook"
"Go to Instagram","Go to Instagram"
"Go to Pinterest","Go to Pinterest"
"Go to Youtube","Go to Youtube"
"Subtotal incl. tax","Subtotal incl. tax"
"Cash on delivery","Cash on delivery"
"DPD Courier","DPD Courier"
"Grand total","Grand total"
"I accept ","I accept "
"terms and conditions","terms and conditions"
"Use my billing data","Use my billing data"
"I want to generate an invoice for the company","I want to generate an invoice for the company"
"Field is required","Field is required"
"Field is required.","Field is required."
"Name must have at least 3 letters.","Name must have at least 3 letters."
"Zip-code must have at least 3 letters.","Zip-code must have at least 3 letters."
"I want to create an account'","I want to create an account'"
"Copy address data from shipping","Copy address data from shipping"
"Tax identification number must have at least 3 letters.","Tax identification number must have at least 3 letters."
"Please provide valid e-mail address.","Please provide valid e-mail address."
"Use my company's address details","Use my company's address details"
"Passwords must be identical","Passwords must be identical"
"Tax ID must have at least 3 letters","Tax ID must have at least 3 letters"
"Subscribe to magazine","Subscribe to magazine"
"E-mail address","E-mail address"
"Save product","Save product"
"Find the right sporting clothes for all situations","Find the right sporting clothes for all situations"
"E-mail address *","E-mail address *"
"Password *","Password *"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"First name","First name"
"Last name","Last name"
"Email address","Email address"
"Change my password","Change my password"
"I have a company and want to receive an invoice for every order","I have a company and want to receive an invoice for every order"
"Company name *","Company name *"
"Street name *","Street name *"
"House/Apartment number *","House/Apartment number *"
"City *","City *"
"Zip-code *","Zip-code *"
"Tax ID *","Zip-code *"
"State / Province","State / Province"
"City","City"
"Phone Number","Phone Number"
"House/Apartment number","House/Apartment number"
"Street name","Street name"
"Zip-code","Zip-code"
"Current password *","Current password *"
"New password *","New password *"
"Repeat new password *","Repeat new password *"
"Passwords must be identical.","Passwords must be identical."
"First name *","First name *"
"Last name *","Last name *"
"Repeat password *","Repeat password *"
"Email address *","Email address *"
"I want to create an account","I want to create an account"
"Tax identification number *","Tax identification number *"
"You're logged out","You're logged out"
"No products found!","No products found!"
"Erin recommends","Erin recommends"
"Compare Products","Compare Products"
"404 Page Not Found","404 Page Not Found"
"Error with response - bad content-type!","Error with response - bad content-type!"
"Unhandled error, wrong response format!","Unhandled error, wrong response format!"
"Cash On Delivery","Cash On Delivery"
"Fixed","Fixed"
"The real payment methods will be implemented soon. Please kindly take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap.","The real payment methods will be implemented soon. Please kindly take a look at https://github.com/DivanteLtd/vue-storefront/issues for our Roadmap."
"Open my account","Open my account"
"Open microcart","Open microcart"
"Open wishlist","Open wishlist"
"Open search panel","Open search panel"
"Open menu","Open menu"
"Show subcategories","Show subcategories"
"Back","Back"
"Close","Close"
